Epoch, Total Squared Error,
354, 1.024699,
355, 1.024687,
356, 1.024676,
357, 1.024664,
358, 1.024652,
359, 1.024641,
360, 1.024629,
361, 1.024617,
362, 1.024606,
363, 1.024594,
364, 1.024582,
365, 1.024571,
366, 1.024559,
367, 1.024547,
368, 1.024535,
369, 1.024523,
370, 1.024511,
371, 1.024499,
372, 1.024487,
373, 1.024476,
374, 1.024464,
375, 1.024451,
376, 1.024439,
377, 1.024427,
378, 1.024415,
379, 1.024403,
380, 1.024391,
381, 1.024379,
382, 1.024367,
383, 1.024354,
384, 1.024342,
385, 1.024330,
386, 1.024317,
387, 1.024305,
388, 1.024293,
389, 1.024280,
390, 1.024268,
391, 1.024255,
392, 1.024243,
393, 1.024230,
394, 1.024218,
395, 1.024205,
396, 1.024193,
397, 1.024180,
398, 1.024167,
399, 1.024155,
400, 1.024142,
401, 1.024129,
402, 1.024116,
403, 1.024104,
404, 1.024091,
405, 1.024078,
406, 1.024065,
407, 1.024052,
408, 1.024039,
409, 1.024026,
410, 1.024013,
411, 1.024000,
412, 1.023987,
413, 1.023974,
414, 1.023961,
415, 1.023948,
416, 1.023934,
417, 1.023921,
418, 1.023908,
419, 1.023895,
420, 1.023881,
421, 1.023868,
422, 1.023854,
423, 1.023841,
424, 1.023827,
425, 1.023814,
426, 1.023800,
427, 1.023787,
428, 1.023773,
429, 1.023760,
430, 1.023746,
431, 1.023732,
432, 1.023718,
433, 1.023705,
434, 1.023691,
435, 1.023677,
436, 1.023663,
437, 1.023649,
438, 1.023635,
439, 1.023621,
440, 1.023607,
441, 1.023593,
442, 1.023579,
443, 1.023565,
444, 1.023551,
445, 1.023536,
446, 1.023522,
447, 1.023508,
448, 1.023494,
449, 1.023479,
450, 1.023465,
451, 1.023450,
452, 1.023436,
453, 1.023421,
454, 1.023407,
455, 1.023392,
456, 1.023378,
457, 1.023363,
458, 1.023348,
459, 1.023333,
460, 1.023319,
461, 1.023304,
462, 1.023289,
463, 1.023274,
464, 1.023259,
465, 1.023244,
466, 1.023229,
467, 1.023214,
468, 1.023199,
469, 1.023184,
470, 1.023168,
471, 1.023153,
472, 1.023138,
473, 1.023123,
474, 1.023107,
475, 1.023092,
476, 1.023076,
477, 1.023061,
478, 1.023045,
479, 1.023030,
480, 1.023014,
481, 1.022998,
482, 1.022983,
483, 1.022967,
484, 1.022951,
485, 1.022935,
486, 1.022919,
487, 1.022903,
488, 1.022887,
489, 1.022871,
490, 1.022855,
491, 1.022839,
492, 1.022823,
493, 1.022806,
494, 1.022790,
495, 1.022774,
496, 1.022757,
497, 1.022741,
498, 1.022725,
499, 1.022708,
500, 1.022691,
501, 1.022675,
502, 1.022658,
503, 1.022641,
504, 1.022625,
505, 1.022608,
506, 1.022591,
507, 1.022574,
508, 1.022557,
509, 1.022540,
510, 1.022523,
511, 1.022506,
512, 1.022489,
513, 1.022471,
514, 1.022454,
515, 1.022437,
516, 1.022419,
517, 1.022402,
518, 1.022384,
519, 1.022367,
520, 1.022349,
521, 1.022331,
522, 1.022314,
523, 1.022296,
524, 1.022278,
525, 1.022260,
526, 1.022242,
527, 1.022224,
528, 1.022206,
529, 1.022188,
530, 1.022170,
531, 1.022152,
532, 1.022133,
533, 1.022115,
534, 1.022097,
535, 1.022078,
536, 1.022060,
537, 1.022041,
538, 1.022022,
539, 1.022004,
540, 1.021985,
541, 1.021966,
542, 1.021947,
543, 1.021928,
544, 1.021909,
545, 1.021890,
546, 1.021871,
547, 1.021852,
548, 1.021832,
549, 1.021813,
550, 1.021794,
551, 1.021774,
552, 1.021755,
553, 1.021735,
554, 1.021716,
555, 1.021696,
556, 1.021676,
557, 1.021656,
558, 1.021636,
559, 1.021616,
560, 1.021596,
561, 1.021576,
562, 1.021556,
563, 1.021536,
564, 1.021515,
565, 1.021495,
566, 1.021474,
567, 1.021454,
568, 1.021433,
569, 1.021413,
570, 1.021392,
571, 1.021371,
572, 1.021350,
573, 1.021329,
574, 1.021308,
575, 1.021287,
576, 1.021266,
577, 1.021245,
578, 1.021223,
579, 1.021202,
580, 1.021180,
581, 1.021159,
582, 1.021137,
583, 1.021116,
584, 1.021094,
585, 1.021072,
586, 1.021050,
587, 1.021028,
588, 1.021006,
589, 1.020984,
590, 1.020962,
591, 1.020939,
